"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","COMP_ACTION_ID","ENVIRONMENTAL_IMPACT_ID","SEP_ID","POLLUTANT_CODE","POLLUTANT_NAME","AVERAGE_ANNUAL_VALUE","POLLUTANT_UNIT_CODE","MEDIA_CODE","MEDIA_DESC","SEP_OR_COMP_FLAG"
"3603555301","10-2023-0066","3600372911","3600061758","3600046283",,"6662",,"59","lbs","LAN","Land","C"
"3603557679","04-2023-1245","3600372928","3600061780","3600046296",,"6662",,"291.01","lbs","LAN","Land","C"
"3603558526","06-2023-3316","3600372941","3600062044","3600046523",,"300000243",,"927570.82","lbs","AIR","Air","C"
"3603559168","02-2023-5006","3600372962","3600061805","3600046308",,"6662",,"2416","lbs","LAN","Land","C"
"3603566516","08-2023-0051","3600373173","3600061915","3600046408",,"4146",,"250","PPL","DWT","Water (drinking)","C"
"3603568522","02-2023-3019","3600373256","3600061973","3600046456",,"6352",,"81","PNDSYR","SWT","Water (navigable/surface)","C"
"3603572679","01-2023-2014","3600377236","3600062020","3600046510",,"5889",,"5","lbs","SWT","Water (navigable/surface)","C"
"3603574196","05-2023-0325","3600377322","3600062053","3600046558",,"2448",,".2","lbs","SWT","Water (navigable/surface)","C"
"3603577185","09-2023-4497","3600381307","3600062118","3600046623",,"6662",,"14056","lbs","LAN","Land","C"
"3603586573","09-2023-4506","3600381576","3600062287","3600046751",,"6662",,"10738","lbs","LAN","Land","C"
"3603588573","07-2022-9024","3600381620","3600062332","3600046788",,"6662",,"10","lbs","LAN","Land","C"
"3603590631","09-2023-4515","3600381709","3600062384","3600046816",,"6662",,"1168","lbs","LAN","Land","C"
"3603597325","01-2023-2022","3600381929","3600062658","3600047086",,"12196",,"47031","PNDSYR","SWT","Water (navigable/surface)","C"
"3603597360","02-2023-3029","3600381934","3600062503","3600046925",,"905",,"747","PNDSYR","SWT","Water (navigable/surface)","C"
"3603599668","05-2023-0050","3600381984","3600065194","3600049006",,"6727",,"0","lbs","LAN","Land","C"
"3603601328","09-2023-1006","3600382041","3600062758","3600047123",,"11900",,"1470000","gal","LAN","Land","C"
"3603601329","09-2023-4518","3600382042","3600062586","3600047010",,"6662",,"529","lbs","LAN","Land","C"
"3603604034","09-2023-4524","3600382135","3600062624","3600047047",,"6662",,"4627","lbs","LAN","Land","C"
"3603604516","07-2023-0060","3600382155","3600062638","3600047063",,"300000282",,"1201","PNDSYR","AIR","Air","C"
"3603604516","07-2023-0060","3600382155","3600062639","3600047066",,"7003",,"54","PNDSYR","AIR","Air","C"
"3603605510","05-2023-9903","3600382188","3600065464","3600049130",,"6851",,"1543","lbs","LAN","Land","C"
"3603605753","04-2023-0050","3600382191","3600062647","3600047072",,"10193",,"15133","PNDSYR","AIR","Air","C"
"3603610018","08-2023-0078","3600386704","3600062704","3600047104",,"6662",,"1000","lbs","LAN","Land","C"
"3603622176","06-2023-1757","3600387142","3600062965","3600047290",,"905",,"1075.86","PNDSYR","SWT","Water (navigable/surface)","C"
"3603627071","01-2023-2027","3600387303","3600063000","3600047323",,"7999",,"61265","gal","SWT","Water (navigable/surface)","C"
"3603628022","08-2023-0100","3600387325","3600063018","3600047333",,"10251",,"30","PPL","DWT","Water (drinking)","C"
"3603629186","10-2023-0102","3600387373","3600063039","3600047343",,"6662",,"14336","lbs","LAN","Land","C"
"3603630787","03-2023-0018","3600387404","3600063045","3600047348",,"10361",,"14","PNDSYR","AIR","Air","C"
"3603631647","02-2023-3302","3600387467","3600063069","3600047369",,"10354",,"7","PNDSYR","SWT","Water (navigable/surface)","C"
"3603633808","01-2023-2029","3600387539","3600063103","3600047416",,"2215",,"44","lbs","SWT","Water (navigable/surface)","C"
"3603637052","06-2023-3366","3600387620","3600063151","3600047451",,"7536",,"19842180","lbs","AIR","Air","C"
"3603639729","09-2023-4544","3600387696","3600063174","3600047478",,"6662",,"13549","lbs","LAN","Land","C"
"3603639730","09-2023-4545","3600387697","3600063175","3600047479",,"6662",,"13549","lbs","LAN","Land","C"
"3603642195","05-2023-5028","3600387823","3600063204","3600047510",,"10494",,"744480","PNDSYR","AIR","Air","C"
"3603648510","07-2023-0019","3600391954","3600063278","3600047584",,"12298",,"3985","PNDSYR","SWT","Water (navigable/surface)","C"
"3603649696","03-2023-0069","3600391965","3600063285","3600047599",,"320003339",,"3500","lbs","AIR","Air","C"
"3603653058","01-2023-1008","3600392077","3600063340","3600047645",,"300000282",,"219","PNDSYR","AIR","Air","C"
"3603654571","06-2023-4312","3600462131","3600074498","3600056083",,"3256",,"26318","gal","SWT","Water (navigable/surface)","C"
"3603660413","06-2023-1776","3600392313","3600081566","3600061351",,"10809",,"1378.15","PNDSYR","SWT","Water (navigable/surface)","C"
"3603660431","10-2023-0126","3600402554","3600064515","3600048519",,"776",,"950","lbs","LAN","Land","C"
"3603668529","09-2023-4568","3600392506","3600063558","3600047823",,"6662",,"39489","lbs","LAN","Land","C"
"3603673225","09-2023-0615","3600392729","3600063661","3600047892",,"7003",,"113","PNDSYR","AIR","Air","C"
"3603676758","05-2023-0078","3600392843","3600065198","3600049009",,"6727",,"0","lbs","LAN","Land","C"
