"ACTIVITY_ID","CASE_NUMBER","FED_PENALTY","ST_LCL_PENALTY","TOTAL_SEP","COMPLIANCE_ACTION_COST","FEDERAL_COST_RECOVERY_AMT","STATE_LOCAL_COST_RECOVERY_AMT","PENALTY_COLLECTED_AMT"
"1800097358","07-2010-0193","31612","0","0","15000",,,"31612"
"1800097949","04-2010-0812","0","0","0","2000",,,"0"
"39688","06-2000-0061","0","0","0","0",,,"0"
"1800109082","02-2010-0821","0","0","0","3000",,,"0"
"1800104811","06-2010-4347","1100","0","0","3575",,,"1100"
"1800105072","09-2010-6501","17498","0","325000","0",,,"0"
"1800106410","08-2010-0092","0","0","0","100",,,"0"
"1800107347","04-2010-1752","0","0","0","100",,,"0"
"39502","06-1999-0838","0","0","0","0",,,"0"
"1800102306","03-2010-0225","37500","0","0","2500",,,"0"
"1800105638","09-2010-6021","0","0","0","20000",,,"0"
"1800106343","04-2010-9818","420","0","0","1055.95",,,"420"
"1800091417","10-2010-0146","0","0","0","100000",,,"0"
"1800108962","03-2010-0226","9900","0","0","250",,,"0"
"1800096480","03-2010-0084","0","0","0","3760",,,"0"
"1800096512","07-2010-0173","600","0","0","600",,,"600"
"1800097314","07-2010-0188","550","0","0","835",,,"550"
"1800108095","07-2010-0151","770","0","0","10",,,"770"
"1800100795","10-2010-0136","0","0","0","1500000000",,,"0"
"1800111525","05-2010-5521","57000","0","0","0",,,"57000"
"1800064850","01-2010-1308","25000","0","0","0",,,"0"
"1800025451","06-2009-1113","2224","0","0","0",,,"2224"
"38937","06-1999-0265","0","0","0","0",,,"0"
"1800109119","02-2010-0820","0","0","0","3000",,,"0"
"1800111597","02-2010-3029","0","0","0","20000",,,"0"
"1800101077","06-2010-4332","500","0","0","1625",,,"500"
"1800103860","04-2010-4250","0","0","0","151000000",,,"0"
"1400038746","09-2009-2518","0","0","0","5600000",,,"0"
"1800114433","09-2010-2513","0","0","0","156000",,,"0"
"1800115145","03-2010-0332","0","0","0","7000",,,"0"
"1800116158","06-2010-0629","0","0","0","1500",,,"0"
"1800094491","02-2010-7941","300","0","0","3000",,,"0"
"1800094507","02-2009-0828","0","0","0","3000",,,"0"
"1800116120","06-2010-0627","0","0","0","1500",,,"0"
"1800116675","06-2010-0634","0","0","0","1500",,,"0"
"1800117945","01-2010-9006","0","0","0","14500",,,"0"
"1800118568","04-2010-1789","0","0","0","100",,,"0"
"1800118675","04-2010-1799","0","0","0","100",,,"0"
"1800093999","01-2010-0512","0","0","0","13000000",,,"0"
"1800092652","06-2010-1732","0","0","0","4000",,,"0"
"1800114847","02-2009-0849","0","0","0","5000",,,"0"
"1800116115","02-2010-8032","0","0","0","2500",,,"0"
"1800103174","07-2010-0210","0","0","0","55000",,,"0"
"1800103322","07-2010-0215","10400","0","0","500",,,"10400"
"1800119030","01-2010-9008","0","0","0","100",,,"0"
"1800119082","01-2010-9016","0","0","0","100",,,"0"
"1800119262","04-2010-2056","12900","0","0","100",,,"12900"
"1800102554","06-2010-4330","575","0","0","18688",,,"575"
"1800080379","06-2010-3562","3000","0","0","3000",,,"3000"
"1800119049","01-2010-9010","0","0","0","200",,,"0"
"1800119051","01-2010-9012","0","0","0","200",,,"0"
"1800119097","04-2010-2050","5900","0","0","100",,,"5900"
"1800119912","05-2010-2009","750","0","0","5000",,,"750"
"1800098933","10-2010-0158","14750","0","0","89438.75",,,"14750"
"1800100444","04-2010-2717","2888","0","0","382",,,"2888"
"1800106788","02-2010-9226","9700","0","0","10000",,,"0"
"1800110996","03-2010-0317","1360","0","0","4000",,,"0"
"1800112145","05-2010-4720","0","0","0","1992",,,"0"
"1800112172","09-2010-6502","108500","0","0","0",,,"108500"
"19365","03-2000-0690","0","0","0","0",,,"0"
"130145","02-2004-0026","275000","0","720924","230000",,,"0"
"1800108260","02-2010-3035","0","0","0","20000",,,"0"
"1800108284","04-2010-1530","200","0","0","100",,,"200"
"1800108335","08-2010-0099","0","0","0","0",,,"0"
"1800111119","07-2010-0241","0","0","0","1730000",,,"0"
"1800097690","04-2010-3008","6963","0","0","3456",,,"6963"
"1800110282","04-2009-9273","0","0","0","100",,,"0"
"1400034241","HQ-2009-8005","0","0","0","20000",,,"0"
"1800028629","08-2009-0209","5000","0","0","0",,,"5000"
"1800097209","05-2010-3865","88871","0","0","0",,,"89053.61"
"1800026948","02-2009-7147","28812.24","0","0","500",,,"0"
"1800108346","05-2010-0079","7500","0","0","0",,,"7500"
"140160","02-2005-0005","184878","0","90250","3648757",,,"0"
"1800038951","01-2010-3015","215340","0","0","428450",,,"0"
"1800067549","02-2010-7102","52000","0","0","50000",,,"0"
"1800110442","09-2010-3525","200","0","0","0",,,"200"
"1800038693","01-2010-4002","0","0","0","0",,,"0"
"1800099780","03-2010-0277","0","0","0","2150000",,,"0"
"1800100046","10-2010-0163","2000","0","0","2000",,,"2000"
"1800112831","10-2010-0191","0","0","0","100",,,"0"
"1800100154","05-2010-0071","0","0","0","0",,,"0"
"1800110239","03-2010-0298","35394","0","0","500",,,"0"
"1800114012","04-2010-5800","0","0","0","12650",,,"0"
"1800097751","04-2010-4508","5000","0","0","0",,,"5000"
"1800094752","07-2010-0154","0","0","0","6322000",,,"0"
"1800041990","10-2010-0015","98002","0","0","10000",,,"98002"
"1800094872","10-2010-0149","35000","0","0","200",,,"0"
"1800113090","03-2010-0314","9672","0","0","0",,,"0"
