"PGM_SYS_ACRNM","PGM_SYS_ID","REGISTRY_ID","AGENCY","ACTIVITY_TYPE_CODE","ENF_TYPE_CODE","ENF_TYPE_DESC","ACHIEVED_DATE","ENF_IDENTIFIER","STATUTE"
"ICIS","7733141","110024449907","EPA","AIF","NONC","Notice of Noncompliance Issued","10/31/2005","08-100022050","TSCA"
"ICIS","7733419","110024449952","EPA","AIF","NONC","Notice of Noncompliance Issued","11/29/2005","08-100017660","TSCA"
"ICIS","600019744","110024450887","EPA","AIF","NONC","Notice of Noncompliance Issued",,"09-200005998","TSCA"
"ICIS","7425426","110024450921","EPA","AIF","NOV","Notice of Violation","07/19/2005","08-100022103","FIFRA"
"ICIS","7425883","110024450994","EPA","AIF","NOV","Notice of Violation","09/29/2005","08-100021885","FIFRA"
"ICIS","7263306","110024451715","EPA","AIF","NONC","Notice of Noncompliance Issued","12/20/2005","07-100022362","TSCA"
"ICIS","2600011968","110024451797","EPA","AIF","NONC","Notice of Noncompliance Issued","02/22/2012","08-200061283","EPCRA"
"RCRAINFO","ILR000140582","110024471178","EPA","AIF","NOV","Notice of Violation","06/03/2014","05-200099916","RCRA"
"ICIS","2659257","110024501788","EPA","AIF","NOV","Notice of Violation","03/25/2003","03-100019012","FIFRA"
"RCRAINFO","VAD982678567","110024521061","EPA","AIF","NOV","Notice of Violation","06/10/2011","03-200053766","RCRA"
"RCRAINFO","IAR000505412","110024523782","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","12/20/2007","07-200008751","RCRA"
"RCRAINFO","MIK453476913","110024524665","EPA","AIF","NOV","Notice of Violation","09/27/2013","05-200088067","RCRA"
"RCRAINFO","OHD020273819","110024528368","EPA","AIF","NOV","Notice of Violation","10/19/2022","05-200217083","RCRA"
"ICIS","7825158","110024528714","EPA","AIF","NONC","Notice of Noncompliance Issued","12/14/2006","07-200003889","TSCA"
"ICIS","7825342","110024529410","EPA","AIF","NONC","Notice of Noncompliance Issued","12/14/2006","07-200003920","TSCA"
