"ACTIVITY_ID","CASE_NUMBER","RELIEF_CODE","RELIEF_DESC"
"3603020310","09-2022-6510","PEN","Penalty"
"3603303168","09-2022-6543","PEN","Penalty"
"3603328695","09-2022-6547","PEN","Penalty"
"3603327804","09-2022-6558","PEN","Penalty"
"3603364002","09-2022-6562","PEN","Penalty"
"3603361195","09-2022-7083","PEN","Penalty"
"3603363987","09-2022-7085","PEN","Penalty"
"3603008323","09-2022-7525","PEN","Penalty"
"3603283239","09-2022-7550","PEN","Penalty"
"3603862199","09-2022-7577","PEN","Penalty"
"3603293842","09-2022-7765","PEN","Penalty"
"3603622294","09-2023-0001","INJ","Injunctive Relief"
"3603690089","09-2023-0023","PEN","Penalty"
"3603690093","09-2023-0024","PEN","Penalty"
"3603690097","09-2023-0025","PEN","Penalty"
"3603523461","09-2023-0030","PEN","Penalty"
"3603586408","09-2023-0034","PEN","Penalty"
"3603621232","09-2023-0054","PEN","Penalty"
"3603655505","09-2023-0065","PEN","Penalty"
"3603753720","09-2023-0069","PEN","Penalty"
"3603462969","09-2023-1501","INJ","Injunctive Relief"
"3603720481","09-2023-2501","INJ","Injunctive Relief"
"3603753025","09-2023-2502","INJ","Injunctive Relief"
"3603754498","09-2023-2503","CRA","Cost Recovery"
"3603752103","09-2023-3515","PEN","Penalty"
"3603694409","09-2023-4055","PEN","Penalty"
"3603693070","09-2023-4070","PEN","Penalty"
"3603725437","09-2023-4086","PEN","Penalty"
"3603749961","09-2023-4087","PEN","Penalty"
"3603743221","09-2023-4619","PEN","Penalty"
"3603411794","09-2023-5005","PEN","Penalty"
"3603646964","09-2023-5037","PEN","Penalty"
"3603604510","09-2023-5042","PEN","Penalty"
"3603725330","09-2023-5057","PEN","Penalty"
"3603729016","09-2023-5076","PEN","Penalty"
"3603697448","09-2023-6081","PEN","Penalty"
"3603484220","09-2023-6502","PEN","Penalty"
"3603595863","09-2023-6506","PEN","Penalty"
"3603540352","09-2023-6516","PEN","Penalty"
"3603563743","09-2023-6520","PEN","Penalty"
"3603528144","09-2023-6529","PEN","Penalty"
"3603660782","09-2023-6532","PEN","Penalty"
"3603685417","09-2023-6536","PEN","Penalty"
"3603504166","09-2023-6560","PEN","Penalty"
"3603444373","09-2023-6561","PEN","Penalty"
"3603746866","09-2023-6562","PEN","Penalty"
"3603724177","09-2023-6574","PEN","Penalty"
"3603469614","09-2023-7518","PEN","Penalty"
"3603624659","09-2023-7559","PEN","Penalty"
"3603659205","09-2023-7572","PEN","Penalty"
"3603682345","09-2023-7577","PEN","Penalty"
"3603682338","09-2023-7579","PEN","Penalty"
"3604128282","09-2024-0636","PEN","Penalty"
"3604106358","09-2024-1076","PEN","Penalty"
"3603967004","09-2024-1518","PEN","Penalty"
"3603967829","09-2024-1519","PEN","Penalty"
"3604057830","09-2024-2500","INJ","Injunctive Relief"
"3604136411","09-2024-2501","CRA","Cost Recovery"
"3604136415","09-2024-2502","CRA","Cost Recovery"
"3604136422","09-2024-2503","INJ","Injunctive Relief"
"3604138011","09-2024-2504","CRA","Cost Recovery"
"3604139081","09-2024-2506","INJ","Injunctive Relief"
"3604139109","09-2024-2507","CRA","Cost Recovery"
"3604139109","09-2024-2507","INJ","Injunctive Relief"
"3604139112","09-2024-2508","CRA","Cost Recovery"
"3603847942","09-2024-4021","PEN","Penalty"
"3603901758","09-2024-4039","PEN","Penalty"
"3604093608","09-2024-4043","PEN","Penalty"
"3604096908","09-2024-4046","PEN","Penalty"
"3604008481","09-2024-4047","PEN","Penalty"
"3604007897","09-2024-4048","PEN","Penalty"
"3604008487","09-2024-4057","PEN","Penalty"
"3604015900","09-2024-4067","PEN","Penalty"
"3604032364","09-2024-4071","PEN","Penalty"
"3604032361","09-2024-4072","PEN","Penalty"
"3604024418","09-2024-4077","PEN","Penalty"
"3604090846","09-2024-4085","PEN","Penalty"
"3604007890","09-2024-4096","PEN","Penalty"
"3604120215","09-2024-4107","PEN","Penalty"
"3604017044","09-2024-4612","PEN","Penalty"
"3604018017","09-2024-4619","PEN","Penalty"
"3604018038","09-2024-4626","PEN","Penalty"
"3603781448","09-2024-4717","PEN","Penalty"
"3603785678","09-2024-4731","PEN","Penalty"
"3603786473","09-2024-4738","PEN","Penalty"
"3603796414","09-2024-4762","PEN","Penalty"
"3603796426","09-2024-4764","PEN","Penalty"
"3603801782","09-2024-4782","PEN","Penalty"
"3603803958","09-2024-4796","PEN","Penalty"
"3603804044","09-2024-4800","PEN","Penalty"
"3603834483","09-2024-4833","PEN","Penalty"
"3603860377","09-2024-4834","PEN","Penalty"
"3603924465","09-2024-4836","PEN","Penalty"
"3603954824","09-2024-5009","PEN","Penalty"
"3603978386","09-2024-5010","PEN","Penalty"
"3603978381","09-2024-5011","PEN","Penalty"
"3603926256","09-2024-5012","PEN","Penalty"
