"ACTIVITY_ID","CASE_NUMBER","REGIONAL_DOCKET_NMBR"
"490","01-1996-0060","CAA I-96-1013"
"491","01-1996-0061","SDWA-I-96-1053"
"1093","01-1999-0104","CERCLA-1-99-0043"
"1101","01-1999-0112","CERCLA 1-99-0070"
"820","01-1998-0010","FIELD CIT. 98-121"
"821","01-1998-0011","FIELD CIT. 98-122"
"823","01-1998-0013","FIELD CIT. 98-02"
"824","01-1998-0014","FIELD CIT. 98-03"
"826","01-1998-0016","FIELD CIT. 98-05"
"827","01-1998-0017","FIELD CIT. 98-063"
"829","01-1998-0019","FIELD CIT. 98-065"
"830","01-1998-0020","FIELD CIT. 98-066"
"832","01-1998-0022","FIELD CIT. 98-068"
"833","01-1998-0023","FIELD CIT. 98-069"
"834","01-1998-0024","FIELD CIT. 98-070"
"836","01-1998-0026","FIELD CIT. 98-06"
"837","01-1998-0027","FIELD CIT. 98-124"
"840","01-1998-0030","FIELD CIT. 98-127"
"842","01-1998-0032","FIELD CIT. 98-075"
"843","01-1998-0033","FIELD CIT. 98-091"
"844","01-1998-0034","FIELD CIT. 98-092"
"845","01-1998-0035","FIELD CIT. 98-074"
"7665","02-2000-8073","SDWA-02-2000-8073"
"7666","02-2000-8074","SDWA-02-2000-8074"
"1110","01-1999-0124","RCRA-1-99-0062"
"1111","01-1999-0125","RCRA-1-99-0062"
"1121","01-1999-0135","RCRA-1-99-0062"
"4445","02-1992-0094","500-C"
"347","01-1995-0041","CWA 1-I-94-1083"
"350","01-1995-0044","TSCA-I-88-1069"
"352","01-1995-0046","TSCA-I-92-1110"
"354","01-1995-0048","CAA-I-94-1053"
"568","01-1997-0009","CAA-I-97-1021"
"570","01-1997-0011","CAA-I-97-1022"
"571","01-1997-0012","97-15"
"573","01-1997-0014","97-11"
"575","01-1997-0016","97-14"
"243","01-1991-0024","1:92-CV-406-M"
"57490","HQ-1999-1074","4955"
"57493","HQ-1999-1077","5014"
"600030365","04-2007-4505","CWA-04-2007-4505(b)"
"600030378","04-2007-2015","EPCRA-04-2007-2015(b)"
"600030419","03-2007-0064","SDWA-03-2007-0064DS"
"497","01-1996-0067","96-19"
"1025","01-1999-0034","99-03"
"1027","01-1999-0036","99-02"
"600029126","04-2007-0771","SDWA-04-2007-0771"
"600029361","07-2007-0074","TSCA-07-2007-0010"
"600030142","04-2007-3008","FIFRA-04-2007-3008(b)"
"307","01-1994-0029","EPCRA-I-94-1067"
"309","01-1995-0003","TSCA-I-93-1062"
"313","01-1995-0007","TSCA-I-93-1101"
"315","01-1995-0009","EPCRA-I-94-1016"
"316","01-1995-0010","CAA-I-94-1019"
"317","01-1995-0011","CAA-I-94-1077"
"319","01-1995-0013","CWA-2-I-94-1004"
"1123","01-1999-0137","RCRA-1-99-0062"
"1125","01-1999-0139","RCRA-1-99-0062"
"2430","02-1987-0154","88-0204"
"4140","02-1991-0148","91-0210"
"600027500","08-2007-0027","SDWA-08-2007-0014"
"600027507","08-2007-0011","SDWA-08-2007-0011"
"600027597","05-2007-0031","FIFRA-05-2007-0019"
"600027816","02-2007-7927","II-UST-FC-1153"
"600028206","06-2007-4310","06-2007-4310"
"5944","02-1997-0031","97-02-PWS-NJ-AO-124F"
"5947","02-1997-0034","97-02-PWS-PR-AO-382F"
"6053","02-1997-0140","113-97-014"
"6054","02-1997-0141","II-UST-FC-348"
"6055","02-1997-0142","II-UST-FC-301"
"6056","02-1997-0143","II-CERCLA-97-0203"
"6057","02-1997-0144","II-CERCLA-97-0204"
"6058","02-1997-0145","113-97-026"
"6059","02-1997-0146","113-97-027"
"8114","02-2000-8722","SDWA-02-2000-8722"
"4580","02-1992-0232","92-0128"
"4583","02-1992-0235","92-0123"
"5185","02-1994-0284","EPA-CWA-II-94-89"
"4655","02-1993-0015","93-0206"
"4393","02-1992-0040","92-0004"
"9674","03-1984-0514","III-84-015VA"
"9675","03-1984-0515","III-84-016VA"
"9676","03-1984-0516","III-84-018VA"
"9677","03-1984-0602","III-84-002DW"
"9678","03-1984-0603","III-84-003DW"
"9679","03-1984-0609","III-84-009DW"
"9680","03-1984-0610","III-84-010DW"
"9681","03-1984-0611","III-84-011DW"
"9682","03-1984-0612","III-84-012DW"
"9683","03-1984-0615","III-84-015DW"
"9684","03-1984-0616","III-84-016DW"
"9685","03-1984-0617","III-84-017DW"
"9686","03-1984-0618","III-84-018DW"
"9687","03-1984-0619","III-84-019DW"
"9688","03-1984-0621","III-84-021DW"
"9689","03-1984-0622","III-84-022DW"
"9690","03-1984-0623","III-84-023DW"
"9691","03-1984-0624","III-84-024DW"
"9692","03-1984-0625","III-84-025DW"
"9693","03-1984-0626","III-84-026DW"
"9694","03-1984-0627","III-84-027DW"
"9695","03-1984-0628","III-84-028DW"
"9696","03-1984-0629","III-84-029DW"
"9697","03-1984-0630","III-84-030DW"
"9698","03-1984-0631","III-84-031DW"
"9699","03-1984-0632","III-84-032DW"
"9700","03-1984-0633","III-84-033DW"
"492","01-1996-0062","CWA-2-I-96-1045"
"496","01-1996-0066","RCRA-I-96-1020"
"600030224","02-2007-3001","CWA-02-2007-3001"
"600030400","06-2007-5600","UST-06-2007-5600"
"600030410","06-2007-5307","UST-06-2007-5307"
"9829","03-1985-0029","85-6280"
"10832","03-1986-0668","03-86-0085NT"
"10833","03-1986-0669","03-86-0086NT"
"10834","03-1986-0670","03-86-0087NT"
"4450","02-1992-0099","92-0106"
"7113","02-1999-5102","FIFRA-02-99-5102"
"7115","02-1999-5106","FIFRA-02-99-5106"
"7116","02-1999-5107","FIFRA-02-99-5107"
"7118","02-1999-5112","FIFRA-02-99-5112"
"3959","02-1990-0234","90-0220"
"3961","02-1990-0236","90-0225"
"3964","02-1990-0239","90-0221"
"5332","02-1995-0131","EPA-CWA-II-95-188"
"5335","02-1995-0134","EPA-CWA-II-95-190"
"6545","02-1998-0195","EPA-CWA-II-98-123"
"14177","03-1989-1344","03-89-1139NT"
"15440","03-1991-0326","03-91-046VS"
"15441","03-1991-0327","03-91-047VS"
"11665","03-1987-0633","III-75-085VW"
"11666","03-1987-0634","III-75-086VW"
"11667","03-1987-0635","III-75-087VW"
"11668","03-1987-0636","III-75-088VW"
"11669","03-1987-0637","III-75-089VW"
"11670","03-1987-0638","III-75-090VW"
"11671","03-1987-0639","III-75-091VW"
"11672","03-1987-0640","III-75-092VW"
"11673","03-1987-0641","III-75-093VW"
"11674","03-1987-0642","III-75-094VW"
"11675","03-1987-0643","III-75-095VW"
"11676","03-1987-0644","III-75-096VW"
"11677","03-1987-0645","III-75-097VW"
"11678","03-1987-0646","III-75-098VW"
"11679","03-1987-0647","III-1988-001DS"
"11680","03-1987-0648","III-1988-002DS"
"11681","03-1987-0649","03-88-0001NT"
"11682","03-1987-0650","TSCA-III-301"
"11683","03-1987-0651","TSCA-III-302"
"11684","03-1987-0652","03-88-0002NT"
"11686","03-1987-0654","03-88-0004NT"
"11687","03-1987-0655","03-88-0005NT"
"11688","03-1987-0656","03-88-0006NT"
"11689","03-1987-0657","03-88-0007NT"
"11690","03-1987-0658","03-88-0008NT"
"11691","03-1987-0659","03-88-0009NT"
"11692","03-1987-0660","03-88-0010NT"
"15622","03-1992-0022","III-92-06-DC"
"11744","03-1987-0714","III-78-011VW"
"12290","03-1988-0307","03-88-016VS"
"12291","03-1988-0308","03-88-015VS"
"18545","03-1999-0181","III-1999-013DS"
"18547","03-1999-0183","III-1999-015DS"
"18548","03-1999-0184","RCRA-3-1999-2003"
"13908","03-1989-1074","03-89-0869NT"
"13909","03-1989-1075","03-89-0870NT"
"11903","03-1987-0873","III-79-011VA"
"11904","03-1987-0874","III-79-012VA"
"11905","03-1987-0875","III-79-013VA"
"10584","03-1986-0419","03-86-0042NT"
"8112","02-2000-8720","SDWA-02-2000-8720"
"8113","02-2000-8721","SDWA-02-2000-8721"
"9297","03-1981-0324","III-84-03-DC"
"9298","03-1981-0325","III-84-04-DC"
"9299","03-1981-0326","III-84-05-DC"
"9300","03-1981-0327","III-84-06-DC"
"9301","03-1981-0328","III-84-07-DC"
"9302","03-1981-0329","III-84-08-DC"
"9303","03-1981-0330","III-84-09-DC"
"9304","03-1981-0331","III-84-10-DC"
"9305","03-1981-0332","III-84-05-DC"
"9306","03-1981-0333","III-84-11-DC"
