"ACTIVITY_ID","CASE_NUMBER","REGIONAL_DOCKET_NMBR"
"29449","05-1995-0487","5-IFFRA-95-050"
"29450","05-1995-0488","V-W-95-C-291"
"28447","05-1993-1026","CERCLA-001-93"
"28589","05-1993-1448","CAA-006-1994"
"28594","05-1993-1455","CAA-006-96"
"28599","05-1993-1470","UIC-AO-94-020"
"36914","06-1997-0083","AO CWA VI-97-3470"
"36356","06-1996-0052","TSCA VI-561C"
"37746","06-1998-0049","CWA VI-98-1607"
"35670","06-1993-0131","C930026"
"35673","06-1993-0134","VI-93-1644"
"32834","05-2001-0169","EPCRA-5-2001-060"
"34041","06-1986-0091","VI-186C(A)"
"34042","06-1986-0092","VI-187C(A)"
"34043","06-1986-0093","VI-188C(A)"
"34044","06-1986-0094","VI-190C"
"34045","06-1986-0095","VI-195C"
"34046","06-1986-0096","VI-196C(A)"
"34780","06-1989-0478","VI-518C"
"34781","06-1989-0479","VI-514C"
"34782","06-1989-0480","VI-517C"
"34815","06-1989-0525","VI-502-H"
"28706","05-1993-1606","V-W-95-C-284"
"36202","06-1995-0333","CWA 6-95-0224P"
"36519","06-1996-0219","AO CWA VI-95-0673"
"34583","06-1988-0631","88-1635"
"34895","06-1989-0617","89-1618"
"34896","06-1989-0618","89-1618"
"34897","06-1989-0619","VI89-1616"
"34898","06-1989-0620","VI89-1640"
"37193","06-1997-0363","FC UST6-97-231"
"38577","06-1998-0890","FC RCRA UST6-98-501"
"41137","06-2001-0235","CWA-6-01-1616"
"36676","06-1996-0388","AO CWA VI-95-1321"
"22520","04-1998-0151","98-038"
"22525","04-1998-0156","98-041"
"20096","04-1979-0016","80-2174W"
"20097","04-1979-0017","C-80-2175-M"
"20098","04-1979-0018","3-80-550"
"20099","04-1979-0019","80-4-CIV-7"
"20100","04-1979-0020","C-80-442-D"
"29229","05-1995-0226","EPCRA-019-94"
"29233","05-1995-0231","TSCA-023-95"
"28880","05-1994-0256","EPCRA-035-1994"
"28881","05-1994-0257","CWA-A0-028-94"
"28887","05-1994-0263","EPCRA-036-1994"
"28888","05-1994-0264","EPCRA-032-1994"
"28892","05-1994-0269","EPCRA-025-1994"
"29408","05-1995-0442","EPCRA-027-93"
"23401","04-1999-0550","NOD"
"23402","04-1999-0551","UST-99-278"
"23403","04-1999-0554","UST-99-391"
"21996","04-1997-0041","97-05-R"
"21997","04-1997-0042","97-06-R"
"21998","04-1997-0043","97-07-R"
"21999","04-1997-0044","97-08-R"
"22000","04-1997-0045","97-09-R"
"22001","04-1997-0046","CAA-4-96-002"
"22002","04-1997-0047","CAA-4-96-010"
"22003","04-1997-0048","CWA-IV-97-501"
"22004","04-1997-0049","97-002"
"22005","04-1997-0054","97-003"
"22007","04-1997-0063","97-004"
"22008","04-1997-0064","IF&R-04-97F027-C"
"25600","05-1985-0311","V-C-289"
"25601","05-1985-0312","V-C-385"
"25602","05-1985-0313","V-C-395"
"25603","05-1985-0315","V-C-431"
"25605","05-1985-0318","V-C-417"
"25606","05-1985-0319","V-C-290"
"25607","05-1985-0320","V-C-384"
"25608","05-1985-0321","V-C-386"
"25610","05-1985-0323","V-C-406"
"25611","05-1985-0324","V-C-427"
"25612","05-1985-0325","V-C-419"
"25613","05-1985-0326","V-C-379"
"26337","05-1987-0037","V-C-054-87"
"34816","06-1989-0526","VI-514-H"
"34817","06-1989-0528","VI-722-H"
"34818","06-1989-0529","VI-808-H"
"34819","06-1989-0531","RCRA VI-826-H"
"34820","06-1989-0532","VI-809-H"
"25950","05-1986-0144","V-W-86-40"
"25951","05-1986-0145","V-W-86-39"
"25958","05-1986-0152","V-W-86-33"
"25475","05-1985-0148","V-C-311"
"25476","05-1985-0149","V-C-284"
"25477","05-1985-0150","V-C-280"
"25478","05-1985-0151","V-C-234"
"26709","05-1987-0526","V-C-030-88"
"26712","05-1987-0529","V-C-46-88"
"26715","05-1987-0533","V-C-47-88"
"24715","04-2001-9081","NOD"
"37444","06-1997-0616","FIFRA 6-061C"
"37793","06-1998-0096","AO CWA VI-98-0015"
"27928","05-1992-0048","UIC-A0-004-92"
"29148","05-1995-0130","CWA-AO-001-95"
"29475","05-1995-0516","5TSCA-VC-005-95"
"16293","03-1993-0281","III-93-33-DC"
"16294","03-1993-0282","III-93-34-DC"
"19910","03-2002-0128","RCRA-03-2002-0128"
"19911","03-2002-0129","RCRA-03-2002-0129"
"20419","04-1989-0021","4-UICC-02287"
"20420","04-1989-0022","4-UICC-00787"
"20422","04-1989-0024","4-UICC-02288"
"20423","04-1989-0025","4-UICC-01687"
"20424","04-1989-0026","4-UICC-00488"
"21161","04-1994-0486","EPCRA-IV-93-522"
"21162","04-1994-0487","94-42-C"
"29409","05-1995-0444","CWA-007-95"
"29414","05-1995-0450","TSCA-V-C-058-89"
"29417","05-1995-0453","IF R-V-015-94"
"24199","04-2000-0901","FIFRA-4-2000-0041(B)"
"31509","05-1999-0139","CERCLA-5-99-001"
"31510","05-1999-0140","FIFRA-5-99-016"
"31515","05-1999-0147","EPA-5-99-IN-1"
"28205","05-1993-0055","CWA-009-1993"
"28207","05-1993-0163","EPCRA-031-93"
"35843","06-1994-0132","TSCA VI-609C(T)"
"32900","05-2001-0243","EPCRA-5-2001-092"
"32901","05-2001-0244","EPCRA-5-2001-085"
"32903","05-2001-0246","EPCRA-5-2001-081"
"25326","05-1984-0086","V-W-84-66"
"25330","05-1984-0090","V-W-84-62"
"25880","05-1986-0069","R-V-176"
"26443","05-1987-0207","V-W-87-39"
"26444","05-1987-0209","V-W-87-41"
"26445","05-1987-0210","V-C-141-87"
"34404","06-1988-0309","VI-304C"
"34405","06-1988-0310","VI-305C"
"34406","06-1988-0311","VI-306C"
"34407","06-1988-0312","VI-307C"
"34408","06-1988-0313","VI-320C"
"35409","06-1992-0063","CWA VI-91-1657"
"35022","06-1990-0100","VO-90-1610"
"35023","06-1990-0101","VI-90-1601"
"35024","06-1990-0103","VI-90-0103"
"35025","06-1990-0104","VI-90-1604"
"35027","06-1990-0201","VI-446S"
"35028","06-1990-0202","EPC-VI-421S"
"35029","06-1990-0203","447S"
"35031","06-1990-0206","EPCRAVI-404S"
"109433","02-2003-0830","TSCA-02-2003-0830"
"34950","06-1989-0683","VI-90-1601"
"34951","06-1989-0684","VI-90-1600"
"34952","06-1989-0685","VI-444C"
"33432","05-2002-0080","V-W-'02-C-693"
"25873","05-1986-0060","V-C-517"
"25875","05-1986-0062","V-C-513"
"26770","05-1988-0056","EPA-5-88-A91"
"24717","04-2001-9083","NOD"
"24720","04-2001-9086","CWA-04-22-1019(C)"
"24723","04-2001-9089","404-98-08"
"40781","06-2000-1167","CWA-6-00-1624"
"40787","06-2000-1173","OPA-6-250-00"
"38465","06-1998-0773","CWA VI-98-1641"
"21164","04-1995-0005","94-34-C"
"19762","03-2001-0417","RCRA-03-2001-0417"
"19765","03-2001-0420","1:03CV142"
"19788","03-2002-0004","FIFRA-03-2002-0004"
"21167","04-1995-0010","CAA-IV-94-001"
"30184","05-1997-0215","5-IFFRA-97-015"
"30142","05-1997-0159","5-IFFRA-97-003"
"30144","05-1997-0161","V-W-97-C-372"
"30146","05-1997-0163","V-W-97-AO-12"
"25847","05-1986-0032","V-C-521"
"29317","05-1995-0331","EPCRA-027-94"
"29318","05-1995-0332","CWA-O02-94"
"29800","05-1996-0360","IF&R-019-96"
"29802","05-1996-0364","TSCA-018-96"
"32904","05-2001-0247","EPCRA-5-2001-082"
"32878","05-2001-0220","TSCA-05-2001-0009"
"32880","05-2001-0222","CAA-05-2002-0004"
"32880","05-2001-0222","CERCLA-05-2002-0008"
"32880","05-2001-0222","EPCRA-05-2002-0018"
"32880","05-2001-0222","MM-05-2002-0007"
"32882","05-2001-0225","TSCA-05-2002-0008"
"28806","05-1994-0144","V-W-006-94"
"28809","05-1994-0148","EPCRA-022-1992"
"28811","05-1994-0150","IFFR-019-1992"
"35636","06-1993-0092","VI-UIC-93-0002"
"35304","06-1991-0124","VI-91-1610"
"35322","06-1991-0142","VI-91-1630"
"34701","06-1989-0300","CERCLA VI-14-88"
"35340","06-1991-0167","VI-91-1691"
"35350","06-1992-0001","VI-675C"
"34398","06-1988-0303","VI-295C"
"34399","06-1988-0304","VI-296C"
"34400","06-1988-0305","VI-297C"
"34401","06-1988-0306","VI-299C"
"34953","06-1989-0686","VI-438S"
"35456","06-1992-0110","VI-92-1627"
"38628","06-1998-0941","OPA-98-067"
"38633","06-1998-0946","SARA 6-98-008"
"39594","06-1999-0930","OPA-99-085"
"39598","06-1999-0934","RCRA-6-015-99"
"41457","06-2001-2925","EPCRA-06-2001-2925"
"40064","06-2000-0442","AO SDWA-6-0181-2000"
"43985","07-1991-0030","1062C-91P"
"30520","05-1997-0617","5-EPCRA-97-054"
"30521","05-1997-0618","V-W-97-AO-41"
"30857","05-1998-0212","5-CAA-030-98"
"37584","06-1997-0758","CAA R6-P-9-LA-97015"
"37031","06-1997-0200","SARA 6-97-003"
"34434","06-1988-0343","VI-312C"
"34436","06-1988-0345","VI-314C"
"34437","06-1988-0346","VI-315C"
"39233","06-1999-0568","FIFRA 6-06-99-013"
"39239","06-1999-0574","FIFRA 6-06-99-020"
"39228","06-1999-0562","FIFRA 6-06-99-011"
"29805","05-1996-0372","5-CAA-96-009"
"29809","05-1996-0376","IF&R-018-96"
"29810","05-1996-0377","UIC-008-96"
"29815","05-1996-0385","IF&R-016-96"
"30274","05-1997-0323","V-W-97-C-414"
"30275","05-1997-0324","V-WW-AO-97-06"
"30278","05-1997-0332","5-TSCA-97-014"
"25876","05-1986-0063","V-C-505"
"28692","05-1993-1590","TSCA V-C-089"
"28700","05-1993-1599","IFFR-011-1993"
"28701","05-1993-1600","IFFR-040-1994"
"27722","05-1991-0128","1: 91-639-CV"
"27724","05-1991-0130","F91-00179"
"26164","05-1986-0368","R-V-209"
"26167","05-1986-0371","V-W-86-50"
"28708","05-1994-0004","95-C-276"
"29222","05-1995-0217","5-TSCA-95-009"
"34402","06-1988-0307","VI-300C"
"34403","06-1988-0308","VI-301C"
"28504","05-1993-1274","V-W-016-1992"
"28505","05-1993-1275","V-W-015-1992"
"31494","05-1999-0120","TSCA-5-99-002"
"28118","05-1992-0296","92-0668"
"33579","05-2002-0240","EPA_5-02-113(a)-07 -MN"
"33581","05-2002-0242","V-W-'02-C-685"
"33582","05-2002-0243","V-W-'02-C-682"
"33583","05-2002-0244","V-W-'02-C-683"
"33590","05-2002-0251","SDWA-05-2002-0006"
"36155","06-1995-0285","SARA 6-92-027"
"35312","06-1991-0132","VI-91-1620"
"35315","06-1991-0135","VI-91-1623"
"35318","06-1991-0138","VI-91-1626"
"34095","06-1986-0145","VI-240C(A)"
"34096","06-1986-0146","VI-241C(A)"
"44161","07-1991-0287","91-T-276"
"44162","07-1991-0288","91-T-307"
"22224","04-1997-0385","EPCRA-IV-97-651"
"22225","04-1997-0386","EPCRA-IV-97-624"
"22226","04-1997-0387","EPCRA-IV-97-617"
"27377","05-1990-0092","V-C-07-90"
"27379","05-1990-0094","EPCRA-37-1990"
"27385","05-1990-0100","EPCRA-27-1990"
"26248","05-1986-0457","V-C-040-87"
"27450","05-1990-0167","4:91133(CV)"
"27452","05-1990-0169","90-397"
"27455","05-1990-0172","90 C 7544"
"30599","05-1997-0699","DWV-IN-97-125"
"30603","05-1997-0703","DWV-IN-97-121"
"34186","06-1987-0024","3-93CV0838-P"
"34188","06-1987-0027","VI-282C"
"34189","06-1987-0028","VI-291C(A)"
"34190","06-1987-0029","VI-294C"
"34191","06-1987-0030","VI-306C"
"34192","06-1987-0032","VI-256C(A)"
"34193","06-1987-0033","VI-279C"
"29984","05-1996-0579","EPA-5-96-113A-MI-7"
"29985","05-1996-0580","5-UIC-96-006"
"29986","05-1996-0581","V-W-06-C-363"
"30038","05-1996-0638","5-CAA-97-014"
"30039","05-1996-0639","05-EPCRA-073-97"
"36297","06-1995-0428","CWA VI-95-1645"
"35473","06-1992-0127","518C"
"29225","05-1995-0222","5-EPCRA-95-019"
"23882","04-2000-0484","EPCRA-4-2000-0038(B)"
"22064","04-1997-0165","94-21-C"
"22065","04-1997-0167","CAA-97-002"
"22066","04-1997-0168","CAA-97-001"
"22734","04-1998-0384","CWA-IV-98-513"
"22738","04-1998-0388","98-15-C"
"22739","04-1998-0389","98-14-C"
"22742","04-1998-0392","IF&R 04-98F030-C"
"22751","04-1998-0404","98-172"
"23385","04-1999-0532","IF&R 04-97F021-C"
"25270","05-1984-0026","C-1-84-1120"
"27584","05-1990-0305","EPA-5-91-113(A)-4"
"27585","05-1990-0306","TSCA-V-C--13-91"
"27460","05-1990-0177","IFR-V-06-90"
"27461","05-1990-0178","IFR-V-07-90"
"32398","05-2000-0388","RUST-5-2000-011"
"138876","06-2005-4319","CWA-06-2005-4319"
"32404","05-2000-0394","TSCA-05-2002-0022"
"30608","05-1997-0708","DWV-IN-97-057"
"30610","05-1997-0710","V-W-97-AO-43"
"30611","05-1997-0711","V-W-97-AO-29"
"25614","05-1985-0327","V-C-418"
"28711","05-1994-0011","1F R-V-010-93"
"30178","05-1997-0206","EPA-97-113A-OH-4"
"17202","03-1996-0027","III-96-003DA"
"17203","03-1996-0029","III-96-002DU"
"17204","03-1996-0030","III-1996-001DS"
"17206","03-1996-0034","III-96-004DA"
"17721","03-1997-0224","III-1997-031DS"
"17722","03-1997-0225","III-1997-032DS"
"17723","03-1997-0226","III-1997-033DS"
"16565","03-1994-0053","III-94-003DA"
"16566","03-1994-0054","III-94-004DA"
"16567","03-1994-0055","III-94-005DA"
"16568","03-1994-0056","III-94-006DA"
"16569","03-1994-0057","III-94-007DA"
"16570","03-1994-0058","III-94-008DA"
"16571","03-1994-0059","III-94-009DA"
"17409","03-1996-0291","III-96-81-DC"
"33054","05-2001-0418","V-W-01-C-633"
"34264","06-1987-0304","VI-280C"
"35007","06-1990-0028","CV91-0904"
"34859","06-1989-0580","VI-551C"
"34860","06-1989-0581","VI-552C"
"34861","06-1989-0582","VI-549C"
"34862","06-1989-0583","VI-548C"
"34863","06-1989-0584","VI-548C"
"34864","06-1989-0585","VI-543C"
"34865","06-1989-0586","VI-521C"
"30628","05-1997-0737","V-W-97-AO-23"
"30629","05-1997-0738","V-W-97-AO-33"
"30630","05-1997-0739","V-W-97-AO-25"
"24192","04-2000-0894","CAA-4-2000-0093"
"24194","04-2000-0896","CAA-4-2000-0090"
"24196","04-2000-0898","CAA-4-2000-0089"
"27725","05-1991-0131","C-7-93-861"
"29506","05-1995-0553","V-W-95-C310"
"29512","05-1995-0559","5-UIC-95-008"
"29513","05-1995-0560","5-EPCRA-95-030"
"30573","05-1997-0672","DWV-IN-97-099"
"30574","05-1997-0673","DWV-IN-97-086"
"30575","05-1997-0674","DWV-IN-97-088"
"30577","05-1997-0676","DWV-IN-97-083"
"30578","05-1997-0677","DWV-IN-97-079"
"30579","05-1997-0678","DWV-IN-97-078"
"32997","05-2001-0358","EPCRA-5-2001-104"
"32905","05-2001-0248","EPCRA-5-2001-086"
"32906","05-2001-0249","EPCRA-5-2001-080"
"22680","04-1998-0321","98-158"
"24209","04-2000-0911","CAA-04-2000-0096"
"19616","03-2001-0258","III-2001-0042DN"
"19617","03-2001-0259","III-2001-0030DN"
"19620","03-2001-0263","CWA-3-2001-0021"
"19624","03-2001-0267","III-2001-0090DS"
"19630","03-2001-0273","CAA-03-2001-0273"
"24211","04-2000-0913","CAA-4-2000-0080"
"91396","05-2003-0007","TSCA-05-2003-0004"
"20599","04-1990-0086","4-UICC-04390"
"20600","04-1990-0087","4-UICC-04690"
"20603","04-1990-0090","4-UICC-03990"
"20604","04-1990-0091","4-UICC-04890"
"23562","04-2000-0158","00-10-C"
"23565","04-2000-0161","04-0086-CV-W-SOW"
"23566","04-2000-0162","00-16-C"
"23568","04-2000-0164","NOD"
"23572","04-2000-0168","OPA-4-2000-01"
"17412","03-1996-0294","98-268"
"17414","03-1996-0296","98-CV-1983"
"17415","03-1996-0297","III-1996-015DS"
"33072","05-2001-0436","EPCRA-5-2001-113"
"31000","05-1998-0402","5-TSCA-98-10"
"31001","05-1998-0403","5-RUST-98-003"
"31005","05-1998-0407","5-FIFRA-014-98"
"43918","07-1990-0410","90-T-054"
"43549","07-1989-0288","932C-89P"
"43550","07-1989-0289","928C-89P"
"45214","07-1994-0433","95-CAA-116"
"45215","07-1994-0434","VII-1269C-94P"
"45216","07-1994-0435","94-T-372-E"
"46372","07-1999-0195","EPCRA-7-99-0038"
"46373","07-1999-0196","EPCRA-7-99-0036"
"30988","05-1998-0390","5-EPCRA-96-015"
"30993","05-1998-0395","5-TSCA-98-009"
"30997","05-1998-0399","5-CAA-98-009"
"31060","05-1998-0466","5-TSCA-98-29"
"31092","05-1998-0499","05-EPCRA-98-026"
"41053","06-2001-0151","TSCA-AP-6-01-0020"
"44012","07-1991-0066","90-T-612"
"36591","06-1996-0293","AO CWA VI-96-1057"
"42735","07-1986-0140","86-P-0675"
"42773","07-1986-0181","87-P-0709"
"42775","07-1986-0183","87-W-0001"
"42776","07-1986-0184","86-T-0481"
"39836","06-2000-0209","CWA-6-7933-99"
"26116","05-1986-0318","V-C-583"
"33198","05-2001-0572","0100171"
"31098","05-1998-0505","5-EPCRA-98-029"
"31103","05-1998-0510","V-W-98-AO-09"
"18577","03-1999-0218","III-1999-018DS"
"18578","03-1999-0219","SDWA-3-99-0002"
"11501","03-1987-0437","III-76-147-W"
"11502","03-1987-0438","III-76-148-W"
"16233","03-1993-0219","III-1993-078DS"
"11052","03-1986-0895","TSCA-III-225"
"11053","03-1986-0896","03-87-0036NT"
"11054","03-1986-0897","03-87-0037NT"
"11055","03-1986-0898","03-87-0038NT"
"14096","03-1989-1263","03-89-1058NT"
"14097","03-1989-1264","03-89-1059NT"
"14098","03-1989-1265","03-89-1060NT"
"14099","03-1989-1266","03-89-1066NT"
"14100","03-1989-1267","03-89-1062NT"
"14101","03-1989-1268","03-89-1063NT"
"14102","03-1989-1269","03-89-1064NT"
"14103","03-1989-1270","03-89-1065NT"
"14104","03-1989-1271","03-89-1066NT"
"14105","03-1989-1272","03-89-1067NT"
"14106","03-1989-1273","03-89-1068NT"
"14107","03-1989-1274","03-89-1069NT"
"14108","03-1989-1275","03-89-1070NT"
"14109","03-1989-1276","03-89-1071NT"
"14110","03-1989-1277","03-89-1072NT"
"14111","03-1989-1278","03-89-1073NT"
"14112","03-1989-1279","03-89-1074NT"
"13709","03-1989-0874","03-89-0666NT"
"22723","04-1998-0373","98-165"
"22726","04-1998-0376","CAA-98-017"
"22727","04-1998-0377","98-167"
"22728","04-1998-0378","TSCA-4-007-99"
"23712","04-2000-0312","SDWA-04-2000-0048"
"20997","04-1993-1696","94-40453"
"20998","04-1994-0005","93-12-R"
"12260","03-1988-0277","03-88-013VS"
"12261","03-1988-0278","III-88-018DS"
"12262","03-1988-0279","III-88-05-VR"
"12263","03-1988-0280","III-88-06-VR"
"12264","03-1988-0281","RCRA-III-170"
"12265","03-1988-0282","TSCA-III-345"
"12266","03-1988-0283","TSCA-III-346"
"12267","03-1988-0284","03-88-0039NT"
"12268","03-1988-0285","03-88-0038NT"
"12269","03-1988-0286","03-88-0040NT"
"12270","03-1988-0287","03-88-0041NT"
"12271","03-1988-0288","03-88-0042NT"
"12272","03-1988-0289","03-88-0043NT"
"12273","03-1988-0290","03-88-0044NT"
"12274","03-1988-0291","03-88-0045NT"
"12275","03-1988-0292","03-88-0046NT"
"12276","03-1988-0293","03-88-0047NT"
"12277","03-1988-0294","03-88-0048NT"
"12278","03-1988-0295","03-88-0049NT"
"15768","03-1992-0174","RCRA-3-055CA"
"12971","03-1989-0133","III-89-011VA"
"12972","03-1989-0134","III-89-012VA"
"12973","03-1989-0135","III-89-013VA"
"12974","03-1989-0136","III-89-014VA"
"12975","03-1989-0137","III-89-015VA"
"12976","03-1989-0138","III-89-016VA"
"12977","03-1989-0139","III-89-017VA"
"12978","03-1989-0140","III-89-018VA"
"12979","03-1989-0141","III-89-001DA"
"12980","03-1989-0142","III-89-021DW"
"12981","03-1989-0144","III-89-022DW"
"12982","03-1989-0145","III-89-023DW"
"15089","03-1990-0614","III-425-C"
"15090","03-1990-0615","III-419-C"
"15091","03-1990-0616","RCRA-3-H-006"
"15092","03-1990-0617","III-1990-065DS"
"15094","03-1990-0619","91-0009"
"15096","03-1990-0621","90-7468"
"10419","03-1986-0254","03-84-0044NT"
"10420","03-1986-0255","03-84-0045NT"
"10421","03-1986-0256","03-84-0046NT"
"10422","03-1986-0257","03-84-0047NT"
"12245","03-1988-0262","88-0163-A"
"10954","03-1986-0793","TSCA-III-214"
"10955","03-1986-0794","TSCA-III-215"
"10956","03-1986-0795","03-86-0168NT"
"14435","03-1989-1603","III-89-055DW"
"14437","03-1989-1605","III-89-36-DC"
"14438","03-1989-1606","III-89-37-DC"
"15759","03-1992-0165","III-92-011DW"
"15760","03-1992-0166","III-92-012DW"
"15761","03-1992-0167","III-92-013DW"
"15762","03-1992-0168","III-92-014DW"
"15763","03-1992-0169","III-92-015DW"
"11056","03-1986-0899","03-87-0039NT"
"13161","03-1989-0324","03-89-0170NT"
"13162","03-1989-0325","03-89-0171NT"
"13163","03-1989-0326","03-89-0172NT"
"13164","03-1989-0327","03-89-0173NT"
"13165","03-1989-0328","03-89-0174NT"
"13166","03-1989-0329","03-89-0175NT"
"14882","03-1990-0405","TSCA-III-517"
"14883","03-1990-0406","TSCA-III-518"
"14884","03-1990-0407","TSCA-III-519"
"14885","03-1990-0408","TSCA-III-520"
"14886","03-1990-0409","TSCA-III-521"
"14887","03-1990-0410","TSCA-III-522"
"14888","03-1990-0411","TSCA-III-523"
"14889","03-1990-0412","III-90-33-DC"
"14891","03-1990-0414","III-400-C"
"14892","03-1990-0415","III-401-C"
"14893","03-1990-0416","III-402-C"
"14894","03-1990-0417","FIFRA-03-SS-020"
"14895","03-1990-0418","III-1990-045DS"
"14897","03-1990-0420","III-90-048DS"
"14898","03-1990-0421","RCRA-III-196"
"14899","03-1990-0422","RCRA-III-197"
"14902","03-1990-0425","III-90-019DW"
"11140","03-1987-0069","03-87-0073NT"
"11141","03-1987-0070","03-87-0074NT"
"13710","03-1989-0875","03-89-0667NT"
"13711","03-1989-0876","03-89-0668NT"
"13712","03-1989-0877","03-89-0669NT"
"13713","03-1989-0878","03-89-0670NT"
"13714","03-1989-0879","03-89-0671NT"
"15277","03-1991-0156","CWA-III-050"
"15278","03-1991-0157","CWA-III-051"
"15279","03-1991-0158","EPCRA-III057"
"15280","03-1991-0159","EPCRA-III058"
"15281","03-1991-0160","EPCRA-III059"
"15283","03-1991-0162","III-91-36-DC"
"15284","03-1991-0163","CERC-III-006"
"15285","03-1991-0164","CERC-III-007"
"15286","03-1991-0165","EPCRA-III060"
"10877","03-1986-0713","III-286-C"
"10878","03-1986-0714","III-287-C"
"10879","03-1986-0715","III-288-C"
"10880","03-1986-0716","III-289-C"
"10881","03-1986-0717","TSCA-III-195"
"16893","03-1995-0028","III-95-01-DC"
"16894","03-1995-0029","III-1995-026DS"
"17047","03-1995-0199","III-95-035DN"
"16384","03-1993-0383","EPCRA-III114"
"16385","03-1993-0384","EPCRA-III115"
"18874","03-2000-0135","TSCA-3-2000-0017"
"18878","03-2000-0139","RCRA-3-2000-9006-004"
"18925","03-2000-0188","III-2000-061DN"
"12108","03-1988-0095","III-88-014VA"
"12109","03-1988-0096","III-87-011DW"
"10897","03-1986-0735","03-86-0131NT"
"11516","03-1987-0459","III-76-163-W"
"25923","05-1986-0115","V-C-509"
"25927","05-1986-0120","V-C-511"
"27072","05-1989-0009","V-C-21-89"
"24886","05-1977-0032","C-78-61-Y"
"16991","03-1995-0141","III-95-41-DC"
"17382","03-1996-0262","III-96-011DU"
"17384","03-1996-0264","CV-97-0256"
"19703","03-2001-0351","RCRA-03-2001-0351"
"17004","03-1995-0156","6:96-0282"
"16339","03-1993-0337","III-1993-100DS"
"16340","03-1993-0338","III-1993-101DS"
"21660","04-1996-0194","404-96-102"
"21661","04-1996-0195","PWS-FAO-95-230"
"21662","04-1996-0196","PWS-FAO-95-296"
"21663","04-1996-0197","PWS-FAO-95-173"
"21664","04-1996-0198","PWS-FAO-95-290"
"21665","04-1996-0199","PWS-FAO-95-158"
"15149","03-1991-0020","EPCRA-III054"
"15150","03-1991-0021","EPCRA-III055"
"13311","03-1989-0474","03-89-0334NT"
"13312","03-1989-0475","03-89-0335NT"
"14178","03-1989-1345","03-89-1140NT"
"12252","03-1988-0269","III-88-019VA"
"12253","03-1988-0270","III-88-018VA"
"10355","03-1986-0190","03-80-0005NT"
"10357","03-1986-0192","03-80-0007NT"
"10358","03-1986-0193","03-80-0008NT"
"10359","03-1986-0194","03-80-0009NT"
"10360","03-1986-0195","03-80-0010NT"
"10361","03-1986-0196","03-81-0001NT"
"10362","03-1986-0197","03-80-0002NT"
"10363","03-1986-0198","03-81-0003NT"
"13492","03-1989-0655","03-89-0502NT"
"11466","03-1987-0402","III-76-111-W"
"13868","03-1989-1033","03-89-0829NT"
"13869","03-1989-1035","03-89-0830NT"
"13870","03-1989-1036","03-89-0831NT"
"13871","03-1989-1037","03-89-0832NT"
"13872","03-1989-1038","03-89-0833NT"
"13873","03-1989-1039","03-89-0834NT"
"14430","03-1989-1598","03-89-1198NT"
"13827","03-1989-0992","03-89-0784NT"
"13828","03-1989-0993","03-89-0785NT"
"13829","03-1989-0994","03-89-0786NT"
"13830","03-1989-0995","03-89-0787NT"
"13831","03-1989-0996","03-89-0788NT"
"13832","03-1989-0997","03-89-0789NT"
"13833","03-1989-0998","03-89-0790NT"
"13834","03-1989-0999","03-89-0791NT"
"13494","03-1989-0657","03-89-0504NT"
"13495","03-1989-0658","03-89-0505NT"
"11142","03-1987-0071","03-87-0075NT"
"11143","03-1987-0072","03-87-0077NT"
"17938","03-1998-0017","III-98-004DA"
"17939","03-1998-0018","III-98-005DA"
"14912","03-1990-0435","CWA-III-041"
"11057","03-1986-0900","03-87-0040NT"
"11058","03-1986-0901","03-87-0041NT"
"11059","03-1986-0903","03-87-0043NT"
"11060","03-1986-0904","03-87-0044NT"
"11061","03-1986-0950","III-86-001VA"
"13698","03-1989-0863","03-89-0646NT"
"13699","03-1989-0864","03-89-0647NT"
"13700","03-1989-0865","03-89-0648NT"
"20458","04-1989-0062","4-UICC-01789"
"19338","03-2000-0658","CWA-3-2000-0037"
"19340","03-2000-0660","FIFRA-3-2000-0013"
"21451","04-1995-0444","CAA-IV-95-008"
"21452","04-1995-0446","95-58"
"24429","04-2001-0192","TSCA-04-2001-0148(B)"
"24430","04-2001-0193","TSCA-04-2001-0147(B)"
"20724","04-1991-0049","94-50028/RV"
"20728","04-1991-0054","88-436"
"11517","03-1987-0460","III-76-164-W"
"11518","03-1987-0461","III-76-166-W"
"11519","03-1987-0467","III-88-01-DC"
"11520","03-1987-0468","III-88-02-DC"
"11521","03-1987-0469","III-88-03-DC"
"11522","03-1987-0470","III-88-04-DC"
"15352","03-1991-0234","91-408"
"15353","03-1991-0235","III-1991-023DS"
"15357","03-1991-0239","TSCA-III-594"
"18277","03-1998-0370","III-98-020DW"
"18278","03-1998-0371","CWA-III-227"
"18279","03-1998-0372","CWA-III-228"
"19664","03-2001-0311","FIFRA-03-2001-0311"
"17774","03-1997-0277","III-97-102-DC"
"17775","03-1997-0278","99-1783"
"17776","03-1997-0279","III-97-021DA"
"17777","03-1997-0280","III-97-022DA"
"17778","03-1997-0281","III-97-023DA"
"17779","03-1997-0282","III-469-C"
"19054","03-2000-0319","CWA-3-2000-0020"
"19055","03-2000-0320","CWA-3-2000-0021"
"14786","03-1990-0306","III-90-21-DC"
"14787","03-1990-0307","III-90-22-DC"
"14788","03-1990-0308","III-90-23-DC"
"14789","03-1990-0309","III-90-24-DC"
