"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","STATE_LOCAL_PENALTY_AMT","COST_RECOVERY_AMT","FED_PENALTY","COMPLIANCE_ACTION_COST","SEP_COST","PENALTY_COLLECTED_AMT"
"142943","06-2005-0618","55280",,"0","0","50",,
"142945","06-2005-0617","55281",,"0","0","50",,
"142953","07-2005-0192","57211",,"0","15000","20000",,"15232"
"142956","07-2005-0193","61430",,"0","0","60000000",,
"142961","06-2005-6011","55917",,"0","858","100",,"858"
"142965","06-2005-1958","57772",,"0","0","5000",,
"142966","02-2005-7102","56480",,"0","20799","5000",,
"142982","01-2005-0009","55291",,"0","0","0",,
"142985","02-2005-7915","55292",,"0","750","7500",,
"135447","04-2005-3004","53669",,"0","0","100",,
"135448","04-2005-3005","53670",,"0","1760","100",,
"135455","04-2005-2014","53671",,"0","40060","0",,
"135462","05-2005-0003","53672",,"0","19014.8","400",,"19014.8"
"135476","04-2005-4752","53673",,"0","0","6000",,
"135499","06-2005-1749","55250","0","0","500","0",,
"135510","06-2005-0609","53676",,"0","0","0",,
"135513","06-2005-0607","53677",,"0","0","0",,
"135516","06-2005-0608","53678",,"0","0","0",,
"135526","04-2004-9932","53754",,"0","0","0",,
"135534","06-2005-1761","59276","0","0","81500","0","126897","81500"
"135535","10-2005-0029","54046",,"0","1000","1000",,"1000"
"135539","06-2005-1759","53840",,"0","0","4000",,
"121907","04-2004-1821","51418",,"0","0","0",,
"121908","04-2004-1816","51422",,"0","0","0",,
"121915","07-2004-0216","51427",,"0","0","2374123",,
"121936","06-2004-1137","51924",,"0","0","100",,
"121941","02-2004-7926","51432",,"0","600","8363",,
"121949","06-2004-2905","52358",,"0","2250","0","6750","2250"
"127286","07-2004-0283","52454",,"0","0","500",,
"127292","04-2004-2044","52455",,"0","5000","0",,
"127302","04-2004-2060","52456",,"0","5000","0",,"5000"
"127309","04-2004-2072","52458",,"0","5000","0",,
"127311","07-2004-0284","52464",,"0","500","500",,
"127313","04-2004-2039","52466",,"0","5000","0",,"5000"
"127316","04-2004-2057","52467",,"0","5000","0",,"5000"
"127322","04-2004-2047","52468",,"0","5000","0",,"5000"
"126950","02-2004-3105","52390",,"0","0","9008000",,
"122658","01-2004-6002","51582",,"0","0","2000",,
"122659","08-2004-0134","51581",,"0","450","7500",,"450"
"122661","01-2004-6003","51606",,"0","0","2000",,
"136158","05-2005-0016","53822",,"0","1500","100",,"1500"
"136165","05-2005-1001","53824",,"0","10688","0","32714","10688"
"136175","06-2005-4315","54609",,"0","1750","4600",,"1750"
"136181","05-2005-0014","53825",,"0","4000","100",,"4000"
